ddc,keyword,iri,term_type
https://id.oclc.org/worldcat/ddc/E33pKJkT4v4WvPJWxChwvmBPKg,000,Computing,alt
https://id.oclc.org/worldcat/ddc/E33pKJkT4v4WvPJWxChwvmBPKg,000,Information science,alt
https://id.oclc.org/worldcat/ddc/E33pKJkT4v4WvPJWxChwvmBPKg,000,Generalities,alt
https://id.oclc.org/worldcat/ddc/E3XBhmq9PBHkVqpmtdG7PxcQTJ,001,Epistemology,alt
https://id.oclc.org/worldcat/ddc/E3XBhmq9PBHkVqpmtdG7PxcQTJ,001,Understanding,alt
https://id.oclc.org/worldcat/ddc/E3GRfdJjFdqJJPxQ3DKgGf33cm,001.2,Academia,alt
https://id.oclc.org/worldcat/ddc/E3GRfdJjFdqJJPxQ3DKgGf33cm,001.2,Erudition,alt
https://id.oclc.org/worldcat/ddc/E3GRfdJjFdqJJPxQ3DKgGf33cm,001.2,Scholarly activity,alt
https://id.oclc.org/worldcat/ddc/E48t7BkrTryX6xjwY9kb3qYWbp,001.2092,Academics,alt
https://id.oclc.org/worldcat/ddc/E48t7BkrTryX6xjwY9kb3qYWbp,001.2092,Intellectuals,alt
https://id.oclc.org/worldcat/ddc/E48t7BkrTryX6xjwY9kb3qYWbp,001.2092,Academicians,alt
https://id.oclc.org/worldcat/ddc/E3D3dPPGfGW38HtmHMYmBCgxrh,001.4,Investigation,alt
https://id.oclc.org/worldcat/ddc/E3D3dPPGfGW38HtmHMYmBCgxrh,001.4,Study,alt
https://id.oclc.org/worldcat/ddc/E3D3dPPGfGW38HtmHMYmBCgxrh,001.4,Inquiry,alt
https://id.oclc.org/worldcat/ddc/E3D3dPPGfGW38HtmHMYmBCgxrh,001.4,Analysis,alt
https://id.oclc.org/worldcat/ddc/E49MYfYJrTm7PmHtMRdqy4kmgc,001.42,Methodology,alt
https://id.oclc.org/worldcat/ddc/E49MYfYJrTm7PmHtMRdqy4kmgc,001.42,Scientific method,alt
https://id.oclc.org/worldcat/ddc/E49MYfYJrTm7PmHtMRdqy4kmgc,001.42,Research design,alt
https://id.oclc.org/worldcat/ddc/E3gmt8WKKJj83H9vVHbXkmbdhM,001.422,Statistics,alt
https://id.oclc.org/worldcat/ddc/E3gmt8WKKJj83H9vVHbXkmbdhM,001.422,Quantitative analysis,alt
https://id.oclc.org/worldcat/ddc/E3gmt8WKKJj83H9vVHbXkmbdhM,001.422,Data analysis,alt
https://id.oclc.org/worldcat/ddc/E3jwBcmpJpYRCp49FRwHRhVpC8,001.4226,Data visualization,alt
https://id.oclc.org/worldcat/ddc/E3jwBcmpJpYRCp49FRwHRhVpC8,001.4226,Infographics,alt
https://id.oclc.org/worldcat/ddc/E3jwBcmpJpYRCp49FRwHRhVpC8,001.4226,Charting,alt
https://id.oclc.org/worldcat/ddc/E3jwBcmpJpYRCp49FRwHRhVpC8,001.4226,Graphing data,alt
https://id.oclc.org/worldcat/ddc/E3v6cFp7Gy38PVp4yKTpQp3GhG,001.433,Observational study,alt
